price,market_cap,volume,date,coin,daily_return,price_7d_avg,price_30d_avg,volatility_7d,high_volume,large_swing
647.7337603591404,94430513841.1008,1157962160.3139863,2025-02-19 00:00:00,binancecoin,,647.7337603591404,647.7337603591404,,False,False
651.2699602601128,94979391300.60149,1067124436.0837576,2025-02-20 00:00:00,binancecoin,0.5459341657615191,649.5018603096266,649.5018603096266,,False,False
657.2357183731672,95917140961.6615,772069784.8547369,2025-02-21 00:00:00,binancecoin,0.9160192358129926,652.0798129974735,652.0798129974735,0.2616896626492954,False,False
646.8031724730836,94395544760.06454,1040952078.1494442,2025-02-22 00:00:00,binancecoin,-1.5873370251250019,650.760652866376,650.760652866376,1.3512094275203268,False,False
668.785472644957,97566157422.2611,988420626.34554,2025-02-23 00:00:00,binancecoin,3.3986073518815774,654.3656168220922,654.3656168220922,2.0435922394478085,False,False
658.3040708334223,96034671976.4126,587694368.3681146,2025-02-24 00:00:00,binancecoin,-1.5672292895481443,655.0220258239806,655.0220258239806,2.0664843550283205,False,False
611.6538008061765,89277366666.72943,1152541876.7735782,2025-02-25 00:00:00,binancecoin,-7.08643195357822,648.8265651071514,648.8265651071514,3.5512302174766788,False,True
623.430675278815,90971486245.88162,1861620239.3557467,2025-02-26 00:00:00,binancecoin,1.92541507256494,645.3546958099621,645.6520788786094,3.412793170757642,False,False
610.3578616799338,89068804316.15977,1423760323.6156917,2025-02-27 00:00:00,binancecoin,-2.0969153616053116,639.5101102985079,641.7304991898677,3.4247933912969413,False,False
605.3106534011248,88306095591.59663,1086874190.5112782,2025-02-28 00:00:00,binancecoin,-0.8269260700463743,632.0922438739304,638.0885146109933,3.3353997614125306,False,False
587.5469266891337,85736602497.7621,1527513660.3334212,2025-03-01 00:00:00,binancecoin,-2.934646303047883,623.6270659047948,633.4938247999152,3.4050024911147214,False,False
608.2885669828928,88705889575.59413,887615511.0007088,2025-03-02 00:00:00,binancecoin,3.530209988611399,614.984650810214,631.3933866484966,3.4355763398001065,False,False
623.6422270366194,90933571455.36256,1393848651.9408092,2025-03-03 00:00:00,binancecoin,2.524075066852016,610.0329588392423,630.7971436014292,3.7177316826256144,False,False
574.3332822956445,84131864548.38559,1502671244.0216174,2025-03-04 00:00:00,binancecoin,-7.906607763761886,604.7014561948806,626.7640106510161,3.9574081148018485,False,True
583.1532087181396,85076550479.04813,1296685222.7007513,2025-03-05 00:00:00,binancecoin,1.5356808832741375,598.9475324004983,623.8566238554909,3.9147509194808126,False,False
597.848549405523,87308885656.99092,565172537.3879949,2025-03-06 00:00:00,binancecoin,2.519979392668703,597.1604877898683,622.231119202368,4.062131636330437,False,False
595.9383138170398,86832048702.56416,840033139.4891893,2025-03-07 00:00:00,binancecoin,-0.3195183111814437,595.821582134999,620.6844835914662,4.054069733304756,False,False
594.5528006856207,86659310630.1766,1083021829.409551,2025-03-08 00:00:00,binancecoin,-0.23249270927804266,596.8224212773542,619.2327234300304,3.869172744646439,False,False
593.0806975943264,86509066986.42744,508781353.37374705,2025-03-09 00:00:00,binancecoin,-0.24759837807454277,594.6498685075591,617.8563010176249,3.586211410392148,False,False
554.7300039388367,80974945856.31647,794891836.6676661,2025-03-10 00:00:00,binancecoin,-6.466353366590583,584.8052652078758,614.6999861636855,3.991639905111758,False,True
532.5658810549988,77810899001.84778,1255231824.3279812,2025-03-11 00:00:00,binancecoin,-3.9954793731116878,578.8384936020693,610.7888383013672,3.143406585936212,False,False
552.6254279577566,80603285400.19487,1939270866.6758049,2025-03-12 00:00:00,binancecoin,3.766585058550942,574.4773820648718,608.1450469221121,3.53545990593465,False,False
570.7207702766447,83256051196.22205,1114489699.9605951,2025-03-13 00:00:00,binancecoin,3.274431722362081,570.6019850464605,606.5179044592657,3.659679565436846,False,False
578.7156213732173,84399190443.91924,1833466480.3402655,2025-03-14 00:00:00,binancecoin,1.4008340878670644,568.1416004116287,605.359475997347,3.7387928553665684,False,False
586.9702499764328,85730468316.92902,845308240.2144562,2025-03-15 00:00:00,binancecoin,1.4263704483435724,567.0583788817447,604.6239069565104,3.8000818101611746,False,False
618.7666348359702,90268773244.99307,1045507701.2295176,2025-03-16 00:00:00,binancecoin,5.417035166742101,570.7277984876939,605.1678580287974,4.3340542074855435,False,True
602.0153495286127,87819548553.47964,880757968.1631225,2025-03-17 00:00:00,binancecoin,-2.7072056514162446,577.4828478576618,605.0510984547165,3.4404478753533803,False,False
630.4469540119447,91954116491.6022,1734384510.2764878,2025-03-18 00:00:00,binancecoin,4.7227374693343815,591.4658582800827,605.9580932960461,2.742377487655322,False,False
628.6214098323479,91696541649.83894,1414095284.5413723,2025-03-19 00:00:00,binancecoin,-0.2895634863456342,602.3224271193101,606.7395869697116,2.8495622955458164,False,False
619.5659214134856,90364999173.09402,1246749969.9429092,2025-03-20 00:00:00,binancecoin,-1.4405313400441377,609.3003058531446,607.1671314511708,3.020477380427284,False,False
630.2183910262637,91957238403.44215,1638896624.4903812,2025-03-21 00:00:00,binancecoin,1.7193440188697506,616.6578443750083,606.5832858067414,3.026075343637972,False,False
634.6156759206938,92640272190.49388,871273243.0492871,2025-03-22 00:00:00,binancecoin,0.6977398560631398,623.464333795617,606.0281429954274,3.0320860237379454,False,False
626.1359464582463,91351828211.81651,510080185.6961636,2025-03-23 00:00:00,binancecoin,-1.3361991807317342,624.5170925987993,604.9914839315969,2.475005437810671,False,False
622.808568853935,90921593695.69312,565395555.6061037,2025-03-24 00:00:00,binancecoin,-0.5314145631045042,627.4875525024166,604.1916638109584,2.1672438364511195,False,False
635.8154787603806,92702831421.47064,1016201346.675068,2025-03-25 00:00:00,binancecoin,2.0884282196663495,628.2544846093361,603.092664014806,1.4091128904296837,False,False
630.3112214019164,91918340830.73216,1571079283.2041454,2025-03-26 00:00:00,binancecoin,-0.86570043390507,628.4958862621316,602.1595690337558,1.4537996187013065,False,False
617.8855000907927,90121720551.83417,753910960.6847237,2025-03-27 00:00:00,binancecoin,-1.9713628584125287,628.2558260731755,602.367292343243,1.5546912325932623,False,False
637.6132125269871,92990457407.1628,2057147067.1925929,2025-03-28 00:00:00,binancecoin,3.1927780200855516,629.3122291447074,602.8400435848488,1.8935758642570133,False,False
619.5224559274657,90341522666.9538,1035501259.6012462,2025-03-29 00:00:00,binancecoin,-2.8372618766515534,627.1560548599606,603.1455300597664,2.1824614163522784,False,False
604.0434442333641,88123077876.96681,842143967.4297414,2025-03-30 00:00:00,binancecoin,-2.498539245188214,623.9999831135489,603.1032897541744,2.3127296027031554,False,False
601.4706478405623,87655671715.34909,627788963.5666428,2025-03-31 00:00:00,binancecoin,-0.4259290316555253,620.9517086830671,603.5674137925555,2.3127509174068184,False,False
