date,market_price_usd,tx_volume_usd,tx_count,hash_rate,avg_tx_value_usd
2024-02-19,52128.57,4823413490.972352,366108.0,552511789.8013868,92579.36385569004
2024-02-20,51782.08,8084102403.71277,397096.0,572824723.2499672,155974.16975119
2024-02-21,52269.58,8039334308.491749,369949.0,560636963.180819,156717.58651566
2024-02-22,51862.86,8872259885.789461,365090.0,548449203.1116709,172024.47139167003
2024-02-23,51303.43,7894519042.487277,409204.0,645951283.6648567,154642.81657571995
2024-02-24,50727.66,3416208944.371803,340419.0,556574376.491103,66746.01973465
2024-02-25,51559.99,2336779584.3757186,418801.0,666264217.113437,45243.21474472999
2024-02-26,51727.76,7973852984.805449,356184.0,540324029.7322387,150876.54419182
2024-02-27,54529.54,12309674248.943565,387598.0,524073682.9733743,217891.28305998002
2024-02-28,57075.01,17690707393.755234,413800.0,605325416.7676959,293796.70800273
2024-02-29,62498.79,15960554472.385185,407090.0,540324029.7322387,257066.23534256002
2024-03-01,61172.49,15155004614.209974,419284.0,608054004.3789,244958.43239796988
2024-03-02,62437.0,3495344246.4389367,339311.0,500960510.12181586,56427.36408145998
2024-03-03,62033.66,3175882955.33311,385447.0,611408496.6053661,51087.47155285001
2024-03-04,63168.4,14721280340.494514,361258.0,508849652.01349825,222866.0078484802
2024-03-05,68377.67,19156443673.329258,424347.0,658743347.9554589,292116.82077567995
2024-03-06,63797.73,19598765884.1782,381934.0,552239932.41775,297300.96451121
2024-03-07,66102.23,15234928433.510197,436344.0,710022770.2513928,227722.10244712004
2024-03-08,66937.0,15049636665.76224,426928.0,607463925.659525,221418.52248269992
2024-03-09,68306.9,4704779112.537283,359029.0,642965064.1720946,69037.53327066
2024-03-10,68499.42,5757164174.643835,368196.0,564073645.2552733,83170.59843322003
2024-03-11,69026.97,18287980135.98232,394098.0,670577060.7929822,255720.48297887994
2024-03-12,72121.18,16249318406.90542,341867.0,556184503.3635911,227491.09622354998
2024-03-13,71489.22,19749038369.964565,390118.0,631131351.3345715,271429.6116228299
2024-03-14,73094.37,16402381871.931147,329706.0,579720256.0482558,228371.35267339996
2024-03-15,71394.36,14316113749.467398,307904.0,529980321.6844611,208531.83605353
2024-03-16,69495.88,4543880223.851563,355760.0,600922569.4689952,66585.70707163995
2024-03-17,65303.67,6585683552.700839,366109.0,609268716.2671757,97980.96351848997
2024-03-18,68358.87,11933590441.311108,416270.0,600922569.4689952,176248.88823467004
2024-03-19,67601.19,13678549274.503231,463952.0,655172523.6571684,212804.20952647008
2024-03-20,61919.44,10724289256.435526,361515.0,621787936.4644464,167309.70994751994
2024-03-21,67857.18,11202686425.692236,327642.0,500768807.8908293,168301.24650388004
2024-03-22,65493.16,12407695913.88318,339533.0,563364908.877183,192869.54399520002
2024-03-23,63795.46,5780151499.661647,326610.0,650999450.2580782,90044.87961919006
2024-03-24,64083.37,3446270505.158186,331527.0,709422477.8453414,52794.90862333999
2024-03-25,67226.33,10813846448.792442,317064.0,550845688.6799122,156565.62454545003
2024-03-26,69962.76,15441122467.654274,317742.0,559191835.4780927,219534.65223003007
2024-03-27,69991.48,12835468637.174114,355902.0,567537982.2762733,184471.11592127
2024-03-28,69446.79,13059294357.123844,428670.0,630675249.3060845,184553.004787
2024-03-29,70754.69,9052675458.634825,449421.0,595046224.9834774,129539.46755188
2024-03-30,69909.85,4899663871.94741,490072.0,640501144.9474928,69950.65430110997
2024-03-31,69650.74,4052049395.04271,319675.0,566120366.8245583,57491.13660003999
2024-04-01,71331.84,13085709742.52084,326410.0,619839817.691122,188439.82321630005
2024-04-02,69701.3,12446948304.835768,357709.0,611575286.7885739,189440.09856887005
2024-04-03,65446.52,11542956859.303852,372978.0,586781694.0809289,174538.23667225
2024-04-04,65983.59,10660992756.195915,320607.0,570252632.2758324,158305.69453306997
2024-04-05,68526.59,7927852982.371402,348637.0,611575286.7885739,117466.42494602996
2024-04-06,67857.42,5025793841.248038,433591.0,640501144.9474928,73898.52463006995
2024-04-07,68909.59,5011808062.969637,526130.0,702485126.7166051,72211.39735044
2024-04-08,69373.69,11418584778.487938,455617.0,652897941.3013152,159660.84023662994
2024-04-09,71645.91,10939569437.810043,453811.0,603310755.8860255,156080.23738275003
2024-04-10,69141.75,8679207271.980724,531054.0,626404079.729565,125497.14840218003
2024-04-11,70561.73,8561053017.120058,476241.0,566860609.5352726,121485.19103152999
2024-04-12,70035.8,9357183105.151403,448489.0,584038203.763614,135668.12457386008
2024-04-13,67198.84,6210051369.613112,507173.0,704281363.3620051,93486.00009197003
2024-04-14,64019.74,5003997183.111914,473328.0,674220573.4624075,77921.16964790001
2024-04-15,65734.62,11559341313.326015,503358.0,605510196.549041,177955.4124551201
2024-04-16,63435.81,10682144920.883438,454669.0,708575761.9190906,169694.76789736992
2024-04-17,63820.92,8561709706.407869,385606.0,588332602.3206996,138224.07445785997
2024-04-18,61280.51,12336705133.490808,418095.0,622687790.7773827,197438.3398408499
2024-04-19,63507.69,9479933431.70449,393190.0,648454182.1198951,148210.21958310998
2024-04-20,63823.55,1849550188.3816292,631001.0,558271812.4211017,28692.25504232001
2024-04-21,64991.71,2437952939.1959405,641668.0,601215797.9919556,37501.23544323999
2024-04-22,64949.79,7335530723.912101,671771.0,652748580.6769805,110814.99445355995
2024-04-23,66844.74,7265789225.50074,927010.0,721458957.5903468,109283.30421253
2024-04-24,66416.37,7652433880.532315,606713.0,671772263.1512126,116858.99729172997
2024-04-25,64271.73,6784884049.382103,526242.0,630674365.8262494,105622.11003924
2024-04-26,64486.29,7554163013.008273,442347.0,578118168.6740619,117603.00653272
2024-04-27,63749.7,3253300158.0688977,452967.0,613155633.4421867,51479.23765236999
2024-04-28,63420.25,3545588645.6945586,487521.0,613155633.4421867,55530.584800609984
2024-04-29,63112.69,5796728920.506398,403064.0,573738485.5780463,92255.39639476995
2024-04-30,63832.72,9309712608.562164,498085.0,617535316.5382024,151580.94244306
2024-05-01,60603.04,8725783357.945253,478881.0,578118168.6740619,150070.34447579997
2024-05-02,58268.36,8551356016.181779,559839.0,635054048.9222649,145940.41214988
2024-05-03,59120.4,5447644455.234284,442742.0,564979119.3860149,88971.00540367002
2024-05-04,62885.27,2535276294.7820964,660263.0,617535316.5382024,39903.429515070005
2024-05-05,63901.84,1613446518.3047206,625998.0,608775950.3461711,25225.346225169986
2024-05-06,64045.15,5491391681.421094,519817.0,534321337.7139056,86024.05117877001
2024-05-07,63157.69,4764574677.705591,372643.0,534321337.7139056,74976.44961322998
2024-05-08,62323.38,4826242476.1033,450856.0,556219753.1939834,77206.75650880998
2024-05-09,61182.24,4649344428.186168,517193.0,613867438.0566123,75226.89643753003
2024-05-10,63066.69,4160729596.332065,713791.0,599332437.5790136,67281.62022628998
2024-05-11,60794.09,1989012570.1560533,719306.0,657199017.7590562,32607.975506809995
2024-05-12,60805.78,1881158872.1569226,557164.0,545599184.5546882,30702.421067869996
2024-05-13,61448.99,5759327016.077168,554780.0,607599091.8904481,91850.68010179004
2024-05-14,62913.71,5418457538.779011,422043.0,562132493.1775575,87452.53668859003
2024-05-15,61557.4,8003836077.364244,493012.0,582799128.9561441,125052.09720717
2024-05-16,66239.13,7101103820.324476,476659.0,586932456.1118613,107872.82276880997
2024-05-17,65231.59,7835288947.482639,573492.0,640665709.1361867,117490.85903929999
2024-05-18,67060.24,2349266373.133145,401264.0,529065875.9318188,35026.48505577999
2024-05-19,66926.54,3000326237.631906,644119.0,636532381.9804695,44827.78660555003
2024-05-20,66266.07,7022731812.543269,626995.0,644799036.2919042,103539.79260042004
2024-05-21,71442.94,11045188897.642183,545041.0,570399147.4889922,156420.2728083399
2024-05-22,70139.6,8214273488.198978,583279.0,632399054.8247522,117403.78837382993
2024-05-23,69133.73,9092947802.681757,744761.0,706194547.0096976,133074.48306832014
2024-05-24,67942.23,8162826585.536556,736439.0,671140034.7624127,119760.48622594003
2024-05-25,68531.76,2016644986.3119543,835040.0,671140034.7624127,29227.23630118
